DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_May-2023,Rank_May-2023
dgraph,dgraph,dgraph,Normal,Y_auto,DGraph#dbdbio>|<dbengines#Dgraph,Graph,Go,GraphQL,Shared-Nothing,"DGraph Labs, Inc#dbdbio>|<dbengines#Dgraph Labs, Inc.",US,2015#dbdbio>|<dbengines#2016,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,dgraph-io/dgraph,Y,1.87,163
dolt,dolt,dolt,Normal,Y_auto,Dolt,Relational,Go,"Custom API,SQL,Command-line / Shell","Shared-Everything,Embedded",DoltHub Inc,US,2018,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,dolthub/dolt,Y,1.44,191
doris,doris,apache-doris,Fuzzy:Normal,Y,Doris#dbdbio>|<dbengines#Apache Doris,Relational,C++,SQL,,"Baidu#dbdbio>|<dbengines#Apache Software Foundation, originally contributed from Baidu",CN,2017,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,apache/incubator-doris#dbdbio>|<dbengines#apache/doris,Y,0.73,264
doxa,doxa,,X_Single,Y_auto,Doxa,Document,Clojure,Custom API,Embedded,Rafal Krzywaznia,PL,2021,,"Hobby,Open Source",Public Domain,ribelo/doxa,Y,,
dqlite,dqlite,,X_Single,Y_auto,Dqlite,Relational,C,SQL,Shared-Nothing,Canonical,,2017,,Open Source,Apache v2,canonical/dqlite,Y,,
dragonfly,dragonfly,dragonfly,Normal,Y_auto,Dragonfly,Key-value,C++,,Shared-Everything,Attos Technologies Ltd.#dbdbio>|<dbengines#DragonflyDB team and community contributors,IL,2021#dbdbio>|<dbengines#2023,,"Commercial,Open Source",Business Source License#dbdbio>|<dbengines#BSL 1.1,dragonflydb/dragonfly,Y,0.21,375
dremio,dremio,,X_Single,Y_auto,Dremio,Relational,Java,SQL,Shared-Disk,Dremio,US,2015,,"Commercial,Open Source",Apache v2,dremio/dremio-oss,Y,,
drill,drill,apache-drill,Fuzzy:Normal,Y,Drill#dbdbio>|<dbengines#Apache Drill,Wide column#dbdbio>|<dbengines#Document,Java,"SQL,HTTP / REST",Shared-Nothing,Apache Foundation#dbdbio>|<dbengines#Apache Software Foundation,US,2012,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,apache/drill,Y,2.96,121
drizzle,drizzle,,X_Single,Y_auto,Drizzle,Relational,C++,SQL,,,US,2008,2012,Open Source,"BSD,GPL v2,GPL v3",,Y,,
druid,druid,apache-druid,Fuzzy:Normal,Y,Druid#dbdbio>|<dbengines#Apache Druid,Wide column#dbdbio>|<dbengines#Relational,Java,"Custom API,SQL,HTTP / REST",Shared-Nothing,Metamarkets#dbdbio>|<dbengines#Apache Software Foundation and contributors,US,2011#dbdbio>|<dbengines#2012,2023,Open Source,Apache v2#dbdbio>|<dbengines#Apache license v2,apache/druid,Y,3.07,116
duckdb,duckdb,duckdb,Normal,Y_auto,DuckDB,Relational,C++,Custom API,Embedded,CWI,NL,2018,2020,"Academic,Open Source",MIT#dbdbio>|<dbengines#MIT License,cwida/duckdb#dbdbio>|<dbengines#duckdb/duckdb,Y,2.92,124
ductiledb,ductiledb,,X_Single,Y_auto,DuctileDB,Graph,Java,Gremlin,Shared-Disk,PureSol Technologies,DE,2015,2018,Open Source,Apache v2,PureSolTechnologies/DuctileDB,Y,,
dynomitedb,dynomitedb,,X_Single,Y_auto,DynomiteDB,,C,,,Netflix,US,2012,,Open Source,Apache v2,Netflix/dynomite,Y,,
earthstar,earthstar,,X_Single,Y_auto,Earthstar,Document,TypeScript,Custom API,Embedded,Earthstar Project,US,2020,,"Academic,Open Source",LGPL v3,earthstar-project/earthstar,Y,,
easedb,easedb,,X_Single,Y_auto,EaseDB,Document,Ruby,HTTP / REST,,Alexander Shakhmatov,RU,2013,2014,Open Source,MIT,X2rdas/easedb,Y,,
echodb,echodb,,X_Single,Y_auto,EchoDB,Key-value,Rust,Custom API,Embedded,SurrealDB Ltd.,GB,2021,,Open Source,Apache v2,surrealdb/echodb,Y,,
edgedb,edgedb,,X_Single,Y_auto,EdgeDB,"Object oriented,Relational","C,Python,Rust","Custom API,SQL,GraphQL",,MagicStack,CA,2018,,"Commercial,Open Source",Apache v2,edgedb/edgedb,Y,,
edgelessdb,edgelessdb,edgelessdb,Normal,Y_auto,EdgelessDB,Relational,,SQL,Shared-Everything,Edgeless Systems,DE,2021,,"Commercial,Open Source",GPL v2#dbdbio>|<dbengines#GPL V2,edgelesssys/edgelessdb,Y,0.0,398
edis,edis,,X_Single,Y_auto,Edis,Key-value,Erlang,,,Chad DePue,US,2010,,Open Source,,cbd/edis,Y,,
effiproz,effiproz,,X_Single,Y_auto,EffiProz,Relational,C#,SQL,Embedded,EffiProz LLC,US,,2012,"Commercial,Open Source",,,Y,,
ehcache,ehcache,ehcache,Normal,Y_auto,Ehcache,Key-value,Java,Custom API,,"Terracotta, Inc.#dbdbio>|<dbengines#Terracotta Inc, owned by Software AG",US,2003#dbdbio>|<dbengines#2009,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2; commercial licenses available,ehcache/ehcache3,Y,6.81,62
einsteindb,einsteindb,,X_Single,Y_auto,EinsteinDB,Key-value,Rust,,,Whtcorps Inc.,US,2019,,Open Source,,YosiSF/EinsteinDB,Y,,
ejdb,ejdb,ejdb,Normal,Y_auto,EJDB,"Key-value,Document#dbdbio>|<dbengines#Document",C,"Custom API,HTTP / REST",Embedded,Softmotions,RU,2012,,Open Source,MIT#dbdbio>|<dbengines#GPLv2,Softmotions/ejdb,Y,0.65,279
elara-db,elara-db,,X_Single,Y_auto,Elara DB,Key-value,Python,Custom API,Embedded,Saurabh Pujari,IN,2021,,"Hobby,Open Source",BSD,saurabh0719/elara,Y,,
elasql,elasql,,X_Single,Y_auto,ElaSQL,Relational,Java,SQL,,National Tsing Hua University,TW,2016,,"Academic,Open Source",Apache v2,elasql/elasql,Y,,
elasticsearch,elasticsearch,elasticsearch,Normal,Y_auto,Elasticsearch,Document#dbdbio>|<dbengines#Search engine,Java,Custom API,Shared-Nothing,Elasticsearch BV#dbdbio>|<dbengines#Elastic,US,2004#dbdbio>|<dbengines#2010,2023,Open Source,Apache v2#dbdbio>|<dbengines#Elastic License,elastic/elasticsearch,Y,141.63,8
elephantdb,elephantdb,,X_Single,Y_auto,ElephantDB,Key-value,Clojure,,,Nathan Marz,US,2011,,Open Source,BSD,nathanmarz/elephantdb,Y,,
elevator,elevator,,X_Single,Y_auto,Elevator,Key-value,,"Custom API,Command-line / Shell",,Théo Crevon,DE,2012,2014,Open Source,MIT,oleiade/Elevator,Y,,
eliasdb,eliasdb,,X_Single,Y_auto,EliasDB,Graph,Go,,,Matthias Ladkau,GB,2016,,Open Source,Mozilla Public License,krotik/eliasdb,Y,,
elliptics,elliptics,elliptics,Normal,Y_auto,Elliptics,Key-value,"C++,Python","Custom API,Command-line / Shell",Shared-Disk,Reverbrain,RU,2009,,"Commercial,Open Source",LGPL v3,reverbrain/elliptics,Y,0.47,307
embeddinghub,embeddinghub,,X_Single,Y_auto,Embeddinghub,Array,Go,Custom API,Shared-Everything,Featureform,US,2020,,"Commercial,Open Source",Mozilla Public License,featureform/embeddinghub,Y,,
engula,engula,,X_Single,Y_auto,Engula,Key-value,Rust,Custom API,Shared-Nothing,Huachao Huang,CN,2022,,"Hobby,Open Source",Apache v2,engula/engula,Y,,
ennodb,ennodb,,X_Single,Y_auto,EnnoDB,Key-value,C,HTTP / REST,,Enno Rehling,NO,2012,2016,"Hobby,Open Source",ISC License,badgerman/ennodb,Y,,
etcd,etcd,etcd,Normal,Y_auto,etcd,Key-value,Go,RPC,Shared-Nothing,CoreOS,US,2013,2019,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,coreos/etcd#dbdbio>|<dbengines#etcd-io/etcd,Y,9.18,51
euclidesdb,euclidesdb,,X_Single,Y_auto,EuclidesDB,Array,C++,"Custom API,HTTP / REST",Shared-Everything,Christian S. Perone,PT,2018,,Open Source,Apache v2,perone/euclidesdb,Y,,
eva-db,eva-db,,X_Single,Y_auto,EVA DB,Relational,,SQL,Shared-Everything,Georgia Institute of Technology,US,2018,,"Academic,Open Source",Apache v2,georgia-tech-db/eva,Y,,
evcache,evcache,,X_Single,Y_auto,EVCache,Key-value,,,Shared-Nothing,Netflix,US,2012,,Open Source,Apache v2,Netflix/EVCache,Y,,
event-store,event-store,eventstoredb,Fuzzy:Normal,Y,Event Store#dbdbio>|<dbengines#EventStoreDB,Event,"C#,C++,JavaScript",,,Event Store LLP#dbdbio>|<dbengines#Event Store Limited,GB,2012,2021,"Commercial,Open Source",BSD,EventStore/EventStore,Y,1.63,178
eventql,eventql,,X_Single,Y_auto,EventQL,Relational,C++,SQL,Shared-Nothing,DeepCortex GmbH,"DE,NL",2014,2017,"Commercial,Open Source",AGPL v3,eventql/eventql,Y,,
exist-db,exist-db,exist-db,Normal,Y_auto,eXist-db,Document#dbdbio>|<dbengines#Native XML,Java,XQuery,,eXist Solutions GmbH,DE,2000,,"Commercial,Open Source",LGPL v2#dbdbio>|<dbengines#L-GPL,eXist-db/exist,Y,1.14,217
extensible-storage-engine,extensible-storage-engine,,X_Single,Y_auto,Extensible Storage Engine,Key-value,C++,Custom API,Embedded,Microsoft,US,1994,,"Commercial,Open Source",MIT,microsoft/Extensible-Storage-Engine,Y,,
eyedb,eyedb,,X_Single,Y_auto,EyeDB,Object oriented,C++,Custom API,,Genethon Laboratories,FR,1992,,"Academic,Open Source",LGPL v2,,Y,,
eyros,eyros,,X_Single,Y_auto,eyros,Array,Rust,Custom API,Embedded,bits.coop,US,2018,,Open Source,Parity Public License,peermaps/eyros,Y,,
falcon,falcon,,X_Single,Y_auto,Falcon,,,,,Sun Microsystems,US,2006,,"Commercial,Open Source",,,Y,,
fallen-8,fallen-8,,X_Single,Y_auto,Fallen-8,Graph,C#,HTTP / REST,,Henning Rauch,DE,2011,,"Hobby,Open Source",MIT,cosh/fallen-8,Y,,
fastdb,fastdb,,X_Single,Y_auto,FastDB,Relational,C++,,Shared-Everything,Konstantin Knizhnik,RU,2011,,Open Source,,,Y,,
faster,faster,,X_Single,Y_auto,FASTER,Key-value,"C#,C++",Custom API,Embedded,Microsoft,US,2018,,"Commercial,Open Source",MIT,microsoft/FASTER,Y,,
featurebase,featurebase,featurebase,Normal,Y_auto,FeatureBase,Relational,Go,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Molecula#dbdbio>|<dbengines#Molecula and Pilosa Open Source Contributors,US,2017,2022,Open Source,Apache v2,featurebasedb/featurebase,Y#dbdbio>|<dbengines#N,0.5,299
ferretdb,ferretdb,,X_Single,Y_auto,FerretDB,Document,Go,Custom API,Shared-Everything,FerretDB Inc.,US,2021,,Open Source,,FerretDB/FerretDB,Y,,
filedb,filedb,,X_Single,Y_auto,FileDB,Key-value,C#,,,Mauricio David,BR,2015,,"Hobby,Open Source",MIT,mbdavid/FileDB,Y,,
filodb,filodb,,X_Single,Y_auto,FiloDB,,Scala,PromQL,,Evan Chan,US,2015,,Open Source,Apache v2,filodb/FiloDB,Y,,
finedb,finedb,,X_Single,Y_auto,FineDB,Key-value,C,Custom API,Shared-Memory,Amaury Bouchard,FR,2013,,Open Source,Apache v2,,Y,,
firebird,firebird,firebird,Normal,Y_auto,Firebird,Relational,"C,C++","Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Everything,Borland#dbdbio>|<dbengines#Firebird Foundation,US,2000,2022,Open Source,Mozilla Public License#dbdbio>|<dbengines#Initial Developer's Public License,FirebirdSQL/firebird,Y,24.55,30
flashdb,flashdb,,X_Single,Y_auto,FlashDB,Key-value,C,Custom API,Embedded,Armink,CN,2020,,"Hobby,Open Source",Apache v2,armink/FlashDB,Y,,
fleetdb,fleetdb,,X_Single,Y_auto,FleetDB,Document,Clojure,Custom API,,Mark McGranaghan,US,2009,,"Academic,Open Source",MIT,mmcgrana/fleetdb,Y,,
flockdb,flockdb,flockdb,Normal,Y_auto,FlockDB,Graph,Scala,,,Twitter,US,2010,2012,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,twitter-archive/flockdb,Y,0.59,287
fluree,fluree,fluree,Normal,Y_auto,Fluree,"Relational,Document,Graph,RDF#dbdbio>|<dbengines#Graph",Clojure,"Custom API,SQL,GraphQL,SPARQL,HTTP / REST",,"Fluree, PBC",US,2017#dbdbio>|<dbengines#2018,,"Commercial,Open Source",AGPL v3#dbdbio>|<dbengines#open-sourced in October 2020,fluree/db,Y,0.59,288
fongo,fongo,,X_Single,Y_auto,Fongo,Document,Java,Custom API,Shared-Everything,Foursquare,US,2012,,Open Source,Apache v2,fakemongo/fongo,Y,,
forestdb,forestdb,,X_Single,Y_auto,ForestDB,Key-value,C++,Custom API,Embedded,"Couchbase, Inc.",US,2013,,Open Source,Apache v2,couchbase/forestdb,Y,,
foundationdb,foundationdb,foundationdb,Normal,Y_auto,FoundationDB,Key-value#dbdbio>|<dbengines#Document,C++,Custom API,Shared-Nothing,FoundationDB,US,2009#dbdbio>|<dbengines#2013,2020,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,apple/foundationdb,Y,1.68,176
framerd,framerd,,X_Single,Y_auto,FramerD,Object oriented,C,Custom API,,MIT Media Lab,US,1996,2005,"Academic,Open Source",GPL v2,,Y,,
frostdb,frostdb,,X_Single,Y_auto,FrostDB,Wide column,Go,Custom API,Embedded,Polar Signals,US,2022,,Open Source,Apache v2,polarsignals/frostdb,Y,,
fueldb,fueldb,,X_Single,Y_auto,FuelDB,Document,Java,,,Joris Basiglio,FR,2014,,Open Source,MIT,unnamed38/fueldb,Y,,
gadfly,gadfly,,X_Single,Y_auto,Gadfly,Relational,Python,,,Aaron Watters,US,1994,2013,Open Source,Python License,,Y,,
gaffer,gaffer,,X_Single,Y_auto,Gaffer,Graph,Java,HTTP / REST,,Government Communications Headquarters,GB,2016,,Open Source,Apache v2,gchq/Gaffer,Y,,
gaia,gaia,,X_Single,Y_auto,Gaia,Object oriented,C++,Custom API,Embedded,GAIA,US,,,"Commercial,Open Source",MIT,gaia-platform/GaiaPlatform,Y,,
genji,genji,,X_Single,Y_auto,Genji,Document,Go,SQL,Embedded,Asdine El Hrychy,AE,2018,,Open Source,,genjidb/genji,Y,,
geode,geode,geode,Normal,Y_auto,Geode,Key-value,Java,Custom API,Shared-Nothing,Apache#dbdbio>|<dbengines#Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,US,2015#dbdbio>|<dbengines#2002,2017,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2; commercial licenses available as Gemfire,apache/geode,Y,3.16,113
ghostdb,ghostdb,,X_Single,Y_auto,GhostDB,Key-value,Go,,Shared-Nothing,Jake Grogan,IE,2020,,Open Source,BSD,jakekgrog/GhostDB,Y,,
gigabase,gigabase,,X_Single,Y_auto,GigaBASE,"Object oriented,Relational",C++,,,Konstantin Knizhnik,RU,,,"Hobby,Open Source",,,Y,,
gnu-sql-server,gnu-sql-server,,X_Single,Y_auto,GNU SQL Server,Relational,C,,,,RU,1997,1998,Open Source,GPL v2,,Y,,
goods,goods,,X_Single,Y_auto,GOODS,Object oriented,,,,Konstantin Knizhnik,RU,,,Open Source,MIT,,Y,,
goshawkdb,goshawkdb,,X_Single,Y_auto,GoshawkDB,,,,,Matthew Sackman,GB,,2016,"Commercial,Open Source",AGPL v3,goshawkdb/server,Y,,
grapheekdb,grapheekdb,,X_Single,Y_auto,GrapheekDB,"Key-value,Graph",Python,"Custom API,Gremlin",Embedded,Raphaël Braud,FR,2014,2015,Open Source,GPL v3,,Y,,
graphik,graphik,,X_Single,Y_auto,Graphik,Document,Go,GraphQL,,Coleman Word,US,2020,,"Hobby,Open Source",Apache v2,graphikDB/graphik,Y,,
graviton,graviton,,X_Single,Y_auto,Graviton,Key-value,Go,Custom API,Embedded,DERO Foundation,FR,2020,,Open Source,GPL v3,deroproject/graviton,Y,,
greatsql,greatsql,,X_Single,Y_auto,GreatSQL,Relational,C++,SQL,Shared-Everything,"Beijing Wanli Open Source Software Co., Ltd.",CN,2020,,"Commercial,Open Source",GPL v2,GreatSQL/GreatSQL,Y,,
greenplum,greenplum,greenplum,Normal,Y_auto,Greenplum,Relational,C,"SQL,PL/SQL",Shared-Nothing,"Greenplum, Pivotal#dbdbio>|<dbengines#Pivotal Software Inc.",US,2003#dbdbio>|<dbengines#2005,2020,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache 2.0,greenplum-db/gpdb,Y,10.97,48
greptimedb,greptimedb,greptimedb,Normal,Y_auto,GreptimeDB,Relational#dbdbio>|<dbengines#Time Series,Rust,"SQL,HTTP / REST",Shared-Disk,Greptime Inc.,CN,2022,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,GreptimeTeam/greptimedb,Y,0.24,368
griddb,griddb,griddb,Normal,Y_auto,GridDB,Key-value#dbdbio>|<dbengines#Time Series,C++,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,Toshiba Corporation,JP,2011#dbdbio>|<dbengines#2013,2022,"Commercial,Open Source","AGPL v3,Apache v2#dbdbio>|<dbengines#AGPL version 3 and Apache License, version 2.0 , commercial license (standard and advanced editions) also available",griddb/griddb_nosql#dbdbio>|<dbengines#griddb/griddb,Y,2.37,142
gridgain,gridgain,gridgain,Normal,Y_auto,GridGain,Key-value,Java,Custom API,,"GridGain Systems#dbdbio>|<dbengines#GridGain Systems, Inc.",US,2007,,"Commercial,Open Source",Apache v2,gridgain/gridgain,Y#dbdbio>|<dbengines#N,2.46,139
gun,gun,,X_Single,Y_auto,GUN,Graph,JavaScript,Custom API,Shared-Everything,Mark Nadal,US,2014,,"Commercial,Open Source",Apache v2,amark/gun,Y,,
h-store,h-store,,X_Single,Y_auto,H-Store,Relational,"C++,Java","SQL,Stored Procedures",Shared-Nothing,"Brown University, Massachusetts Institute of Technology, Carnegie Mellon University",US,2006,2016,"Academic,Open Source","BSD,GPL v3",apavlo/h-store,Y,,
h2,h2,h2,Normal,Y_auto,H2,Relational,Java,SQL,"Shared-Everything,Embedded",Thomas Mueller,CH,2004#dbdbio>|<dbengines#2005,2022,Open Source,"Eclipse Public License,Mozilla Public License#dbdbio>|<dbengines#dual-licence (Mozilla public license, Eclipse public license)",h2database/h2database,Y,8.86,52
haildb,haildb,,X_Single,Y_auto,HailDB,Key-value,,,Embedded,Stewart Smith,AU,2010,2015,Open Source,,,Y,,
halodb,halodb,,X_Single,Y_auto,HaloDB,Key-value,Java,,Embedded,Yahoo!,US,2017,,"Industrial Research,Open Source",Apache v2,yahoo/HaloDB,Y,,
hampusdb,hampusdb,,X_Single,Y_auto,HampusDB,Key-value,C,Custom API,Shared-Everything,Hampus Soderstrom,SE,2006,2013,"Hobby,Open Source",LGPL v2,,Y,,
hanoidb,hanoidb,,X_Single,Y_auto,HanoiDB,Key-value,Erlang,,,Kresten Krab Thorup,DK,2012,2016,Open Source,,krestenkrab/hanoidb,Y,,
hawq,hawq,apache-hawq,Fuzzy:Normal,Y,HAWQ#dbdbio>|<dbengines#Apache HAWQ,Relational,Java,SQL,Shared-Disk,Pivotal#dbdbio>|<dbengines#Pivotal Software; Apache,US,2015#dbdbio>|<dbengines#2012,,Open Source,Apache v2,apache/hawq,Y,1.62,179
hazelcast,hazelcast,hazelcast,Normal,Y_auto,Hazelcast,Key-value,Java,Custom API,Shared-Nothing,Hazelcast,US,2008,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2; commercial licenses available,hazelcast/hazelcast,Y,8.11,55
hbase,hbase,hbase,Normal,Y_auto,HBase,Wide column,Java,Custom API,Shared-Disk,Powerset#dbdbio>|<dbengines#Apache Software Foundation,US,2007#dbdbio>|<dbengines#2008,2021,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/hbase,Y,38.59,26
heavydb,heavydb,,X_Single,Y_auto,HeavyDB,Relational,C++,SQL,Shared-Everything,HEAVY.AI,US,2013,,"Commercial,Open Source",Apache v2,heavyai/heavydb,Y,,
herddb,herddb,,X_Single,Y_auto,HerdDB,Relational,Java,"Custom API,SQL,Command-line / Shell",Shared-Nothing,Diennea S.r.l.,IT,2016,,Open Source,Apache v2,diennea/herddb,Y,,
heroic,heroic,heroic,Normal,Y_auto,Heroic,Key-value#dbdbio>|<dbengines#Time Series,Java,Custom API,Shared-Nothing,Spotify,SE,2015#dbdbio>|<dbengines#2014,2019,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,spotify/heroic,Y,0.64,283
hibari,hibari,hibari,Normal,Y_auto,Hibari,Key-value,Erlang,,,Gemini Mobile Technologies,"US,JP",2005,,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,hibari/hibari,Y,1.43,192
hipsterdb,hipsterdb,,X_Single,Y_auto,hipsterDB,Key-value,Go,HTTP / REST,,Rob Merrell,US,2013,2013,"Hobby,Open Source",,robmerrell/hipsterdb,Y,,
histore,histore,,X_Single,Y_auto,Histore,Key-value,JavaScript,Custom API,,Jason Miller,US,2018,,Open Source,Apache v2,developit/histore,Y,,
hive,hive,hive,Normal,Y_auto,Hive,Relational,Java,SQL,,Facebook#dbdbio>|<dbengines#Apache Software Foundation,US,2010#dbdbio>|<dbengines#2012,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2,apache/hive,Y,73.61,17
hive-dart,hive-dart,,X_Single,Y_auto,Hive (Dart),Key-value,Dart,Custom API,Embedded,Simon Leier,DE,2019,,Open Source,Apache v2,hivedb/hive,Y,,
hstreamdb,hstreamdb,,X_Single,Y_auto,HStreamDB,Relational,Haskell,SQL,,"EMQ Technologies Co., Ltd.",CN,2020,,"Commercial,Open Source",BSD,hstreamdb/hstream,Y,,
hydra,hydra,,X_Single,Y_auto,Hydra,"Object oriented,Relational",C,SQL,Shared-Everything,Hydra,CA,2022,,"Commercial,Open Source","AGPL v3,Apache v2",HydrasDB/hydra,Y,,
hyperdex,hyperdex,,X_Single,Y_auto,HyperDex,Key-value,C++,Custom API,Shared-Nothing,Cornell University,US,2011,2016,"Academic,Open Source",BSD,rescrv/HyperDex,Y,,
hypergraphdb,hypergraphdb,hypergraphdb,Normal,Y_auto,HyperGraphDB,Graph,Java,Custom API,Shared-Nothing,Kobrix Software,US,2007,,Open Source,Apache v2#dbdbio>|<dbengines#L-GPL,hypergraphdb#dbdbio>|<dbengines#hypergraphdb/hypergraphdb,Y,0.65,278
hypersql,hypersql,hypersql,Normal,Y_auto,HyperSQL,Relational,Java,SQL,Embedded,HSQLDB Development Group,US,2001,2022,Open Source,BSD#dbdbio>|<dbengines#based on BSD license,ryenus/hsqldb,Y,5.24,82
hypertable,hypertable,,X_Single,Y_auto,Hypertable,Wide column,C++,"Custom API,Command-line / Shell",Shared-Disk,Zvents,US,2008,2016,"Commercial,Open Source",GPL v3,hypertable/hypertable,Y,,
hyrise,hyrise,,X_Single,Y_auto,Hyrise,Relational,C++,"SQL,Stored Procedures",Shared-Everything,Hasso Plattner Institute,DE,2009,,"Academic,Open Source",MIT,hyrise/hyrise,Y,,
icecoal,icecoal,,X_Single,Y_auto,Icecoal,Relational,Python,SQL,Embedded,,,2020,,"Hobby,Open Source",MIT,ppml38/icecoal,Y,,
icefiredb,icefiredb,,X_Single,Y_auto,IceFireDB,Key-value,Go,"Custom API,HTTP / REST",Shared-Nothing,Li Biao,CN,2021,,"Hobby,Open Source",Apache v2,IceFireDB/IceFireDB,Y,,
ignite,ignite,ignite,Normal,Y_auto,Ignite,Key-value,Java,SQL,Shared-Nothing,Apache Foundation#dbdbio>|<dbengines#Apache Software Foundation,US,2014#dbdbio>|<dbengines#2015,,Open Source,Apache v2#dbdbio>|<dbengines#Apache 2.0,apache/ignite,Y,5.14,83
immortaldb,immortaldb,,X_Single,Y_auto,ImmortalDB,Key-value,JavaScript,Custom API,Embedded,Ansgar Grunseid,US,2018,,Open Source,MIT,gruns/ImmortalDB,Y,,
immudb,immudb,immudb,Normal,Y_auto,Immudb,Key-value,Go,HTTP / REST,,"Codenotary, Inc.#dbdbio>|<dbengines#Codenotary",US,2019#dbdbio>|<dbengines#2020,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache Version 2.0,codenotary/immudb,Y,0.36,331
impala,impala,impala,Normal,Y_auto,Impala,Relational,C++,"Custom API,SQL",Shared-Nothing,Cloudera,US,2013,2022,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2,apache/impala,Y,18.66,37
infinidb,infinidb,,X_Single,Y_auto,InfiniDB,Relational,C++,SQL,"Shared-Nothing,Shared-Disk","InfiniDB, Inc.",US,2000,2014,"Commercial,Open Source",GPL v2,infinidb/infinidb,Y,,
infinispan,infinispan,infinispan,Normal,Y_auto,Infinispan,Key-value,Java,Custom API,,RedHat,US,2009,2023,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2,infinispan/infinispan,Y,3.9,98
infinisql,infinisql,,X_Single,Y_auto,InfiniSQL,Relational,C++,,,Mark Travis,US,2013,2014,Open Source,GPL v3,infinisql/infinisql,Y,,
influxdb,influxdb,influxdb,Normal,Y_auto,InfluxDB,Wide column#dbdbio>|<dbengines#Time Series,Go,"Custom API,SQL,HTTP / REST",,InfluxData,US,2013,2022,"Commercial,Open Source",MIT#dbdbio>|<dbengines#MIT-License; commercial enterprise version available,influxdata/influxdb,Y,29.9,29
infogrid,infogrid,,X_Single,Y_auto,InfoGrid,Graph,,,,,US,2008,,Open Source,AGPL v3,,Y,,
ingres,ingres,ingres,Normal,Y_auto,Ingres,Relational,C,"Custom API,SQL,Stored Procedures,Command-line / Shell,QUEL",Shared-Everything,Actian#dbdbio>|<dbengines#Actian Corporation,US,1974,2017,"Academic,Commercial,Open Source",GPL v2,fosslc/Ingres,Y#dbdbio>|<dbengines#N,5.81,75
iondb,iondb,,X_Single,Y_auto,IonDB,Key-value,C,Custom API,Embedded,Graeme Douglas,CA,2015,,"Academic,Open Source",BSD,iondbproject/iondb,Y,,
iotdb,iotdb,apache-iotdb,Fuzzy:Normal,Y,IoTDB#dbdbio>|<dbengines#Apache IoTDB,Hierarchical#dbdbio>|<dbengines#Time Series,Java,Custom API,Embedded,Tsinghua University#dbdbio>|<dbengines#Apache Software Foundation,CN,2017#dbdbio>|<dbengines#2018,2023,"Academic,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,apache/incubator-iotdb#dbdbio>|<dbengines#apache/iotdb,Y,0.79,258
irmin,irmin,,X_Single,Y_auto,Irmin,Document,Ocaml,"Custom API,Command-line / Shell",,MirageOS,FR,2013,,Open Source,ISC License,mirage/irmin,Y,,
jackrabbit,jackrabbit,jackrabbit,Normal,Y_auto,Jackrabbit,Object oriented#dbdbio>|<dbengines#Content,Java,,,Day Software#dbdbio>|<dbengines#Apache Software Foundation,CH,2004#dbdbio>|<dbengines#2006,,Open Source,Apache v2,apache/jackrabbit,Y,6.92,60
jaguar,jaguar,jaguardb,Fuzzy:Normal,Y,Jaguar#dbdbio>|<dbengines#JaguarDB,"Key-value,Array#dbdbio>|<dbengines#Key-value",C++,"Custom API,SQL,Command-line / Shell",Shared-Nothing,"Data Jaguar#dbdbio>|<dbengines#DataJaguar, Inc.",US,2017#dbdbio>|<dbengines#2015,2018,"Commercial,Open Source",MIT#dbdbio>|<dbengines#GPL V3.0,datajaguar/jaguardb,Y,0.01,396
